valid_time,u10,v10,t2m,ssrd,latitude,longitude
2024-01-10 15:00:00,-2.4048767,-1.0867157,270.37656,229440.0,53.0,8.75
2024-01-10 16:00:00,-2.6209717,-1.4822845,269.7638,14336.0,53.0,8.75
2024-01-10 17:00:00,-2.6470337,-1.2059326,269.18384,0.0,53.0,8.75
2024-01-10 18:00:00,-2.3544617,-0.86125183,268.5492,0.0,53.0,8.75
2024-01-10 19:00:00,-2.1934357,-0.9825592,268.36792,0.0,53.0,8.75
2024-01-10 20:00:00,-1.9229431,-1.024231,267.678,0.0,53.0,8.75
2024-01-10 21:00:00,-1.7595673,-0.9515991,267.22455,0.0,53.0,8.75
2024-01-10 22:00:00,-1.4960175,-0.8443756,266.83115,0.0,53.0,8.75
2024-01-10 23:00:00,-1.4868622,-0.7909241,266.6397,0.0,53.0,8.75
2024-01-11 00:00:00,-1.1255798,-1.0226135,265.97943,0.0,53.0,8.75
2024-01-11 01:00:00,-0.8326416,-1.1447601,266.1814,0.0,53.0,8.75
2024-01-11 02:00:00,-0.18165588,-0.6222534,267.11755,0.0,53.0,8.75
2024-01-11 03:00:00,0.18273926,-1.1036377,265.86694,0.0,53.0,8.75
2024-01-11 04:00:00,0.09590149,-1.5318451,266.0679,0.0,53.0,8.75
2024-01-11 05:00:00,0.5829773,-1.3345642,266.23444,0.0,53.0,8.75
2024-01-11 06:00:00,0.97442627,-0.63716125,266.9817,0.0,53.0,8.75
2024-01-11 07:00:00,1.1116638,0.0013427734,267.62393,0.0,53.0,8.75
2024-01-11 08:00:00,1.2526398,-0.051513672,268.5857,6144.0,53.0,8.75
2024-01-11 09:00:00,1.4411316,0.11878967,269.3919,90560.0,53.0,8.75
2024-01-11 10:00:00,1.8534393,0.01625061,270.1917,192768.0,53.0,8.75
2024-01-11 11:00:00,2.0436249,0.15159607,270.96194,242432.0,53.0,8.75
2024-01-11 12:00:00,2.3224182,0.22114563,271.69824,315264.0,53.0,8.75
2024-01-11 13:00:00,2.5583801,0.22749329,272.2225,225280.0,53.0,8.75
2024-01-11 14:00:00,2.304428,0.034851074,272.79532,156992.0,53.0,8.75
2024-01-11 15:00:00,2.191986,-0.0043945312,273.12332,79552.0,53.0,8.75
2024-01-11 16:00:00,1.9468842,-0.36120605,273.35657,4736.0,53.0,8.75
2024-01-11 17:00:00,1.5696869,-0.5841522,273.32733,0.0,53.0,8.75
2024-01-11 18:00:00,1.2785492,-0.95306396,273.39694,0.0,53.0,8.75
2024-01-11 19:00:00,0.9769287,-1.0488129,273.6405,0.0,53.0,8.75
2024-01-11 20:00:00,0.7499237,-1.0727081,273.6131,0.0,53.0,8.75
2024-01-11 21:00:00,0.90864563,-1.1013641,273.2196,0.0,53.0,8.75
2024-01-11 22:00:00,1.0125275,-0.9299011,271.71307,0.0,53.0,8.75
2024-01-11 23:00:00,1.2210083,-0.53144836,272.38483,0.0,53.0,8.75
